FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
6.0,2010-06-04,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0003,-80.577366,28.5618571
8.0,2012-05-22,Falcon 9,525.0,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0005,-80.577366,28.5618571
10.0,2013-03-01,Falcon 9,677.0,ISS,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0007,-80.577366,28.5618571
11.0,2013-09-29,Falcon 9,500.0,PO,VAFB SLC 4E,False Ocean,1.0,False,False,False,,1.0,0.0,B1003,-120.610829,34.632093
12.0,2013-12-03,Falcon 9,3170.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1004,-80.577366,28.5618571
13.0,2014-01-06,Falcon 9,3325.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1005,-80.577366,28.5618571
14.0,2014-04-18,Falcon 9,2296.0,ISS,CCSFS SLC 40,True Ocean,1.0,False,False,True,,1.0,0.0,B1006,-80.577366,28.5618571
15.0,2014-07-14,Falcon 9,1316.0,LEO,CCSFS SLC 40,True Ocean,1.0,False,False,True,,1.0,0.0,B1007,-80.577366,28.5618571
16.0,2014-08-05,Falcon 9,4535.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1008,-80.577366,28.5618571
17.0,2014-09-07,Falcon 9,4428.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1011,-80.577366,28.5618571
18.0,2014-09-21,Falcon 9,2216.0,ISS,CCSFS SLC 40,False Ocean,1.0,False,False,False,,1.0,0.0,B1010,-80.577366,28.5618571
19.0,2015-01-10,Falcon 9,2395.0,ISS,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1012,-80.577366,28.5618571
20.0,2015-02-11,Falcon 9,570.0,ES-L1,CCSFS SLC 40,True Ocean,1.0,True,False,True,,1.0,0.0,B1013,-80.577366,28.5618571
22.0,2015-04-14,Falcon 9,1898.0,ISS,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1015,-80.577366,28.5618571
23.0,2015-04-27,Falcon 9,4707.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1016,-80.577366,28.5618571
24.0,2015-06-28,Falcon 9,2477.0,ISS,CCSFS SLC 40,None ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1018,-80.577366,28.5618571
25.0,2015-12-22,Falcon 9,2034.0,LEO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0.0,B1019,-80.577366,28.5618571
26.0,2016-01-17,Falcon 9,553.0,PO,VAFB SLC 4E,False ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0.0,B1017,-120.610829,34.632093
27.0,2016-03-04,Falcon 9,5271.0,GTO,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1020,-80.577366,28.5618571
28.0,2016-04-08,Falcon 9,3136.0,ISS,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021,-80.577366,28.5618571
29.0,2016-05-06,Falcon 9,4696.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1022,-80.577366,28.5618571
30.0,2016-05-27,Falcon 9,3100.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1023,-80.577366,28.5618571
32.0,2016-07-18,Falcon 9,2257.0,ISS,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1.0,B1025,-80.577366,28.5618571
33.0,2016-08-14,Falcon 9,4600.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1026,-80.577366,28.5618571
34.0,2016-09-01,Falcon 9,5500.0,GTO,CCSFS SLC 40,None ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0.0,B1028,-80.577366,28.5618571
35.0,2017-01-14,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1029,-120.610829,34.632093
36.0,2017-02-19,Falcon 9,2490.0,ISS,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1031,-80.6039558,28.6080585
37.0,2017-03-16,Falcon 9,5600.0,GTO,KSC LC 39A,None None,1.0,False,False,False,,3.0,0.0,B1030,-80.6039558,28.6080585
38.0,2017-03-30,Falcon 9,5300.0,GTO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021,-80.6039558,28.6080585
39.0,2017-05-01,Falcon 9,6123.547647058824,LEO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1032,-80.6039558,28.6080585
40.0,2017-05-15,Falcon 9,6070.0,GTO,KSC LC 39A,None None,1.0,False,False,False,,3.0,0.0,B1034,-80.6039558,28.6080585
41.0,2017-06-03,Falcon 9,2708.0,ISS,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035,-80.6039558,28.6080585
42.0,2017-06-23,Falcon 9,3669.0,GTO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1029,-80.6039558,28.6080585
43.0,2017-06-25,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1036,-120.610829,34.632093
44.0,2017-07-05,Falcon 9,6761.0,GTO,KSC LC 39A,None None,1.0,False,False,False,,3.0,0.0,B1037,-80.6039558,28.6080585
45.0,2017-08-14,Falcon 9,2910.0,ISS,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1039,-80.6039558,28.6080585
